,Unnamed: 0,TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Fill
80,80,81,OLP,2,0,1,,,,-107.51038486359,280.074127949161,-242.705098312484,176.335575687742,15.700786872883198,299.588860426372,-242.705098312484,176.335575687742,
81,81,82,LLP,2,0,1,,,,-122.02099292273998,274.06363729278,31.358538980296107,298.356568610482,31.358538980296107,298.356568610482,31.358538980296107,298.356568610482,
82,82,83,OLP,2,0,1,,,,-92.70509831248421,285.316954888546,122.02099292273998,274.06363729278,122.02099292273998,274.06363729278,122.02099292273998,274.06363729278,
83,83,84,BL,0,0,1,,,,259.8076211,150.0,,,,,,,
84,84,85,ERP,1,6,2,,,,-150.0,259.807621135332,-46.9303395120692,296.306502178541,-107.51038486359,280.074127949161,-46.9303395120692,296.306502178541,
85,85,86,LLP,1,2,2,,,,-163.391710504508,251.60117038362702,-212.132034355964,212.132034355964,-212.132034355964,212.132034355964,-212.132034355964,212.132034355964,
86,86,87,OLP,1,5,2,,,,-176.335575687742,242.705098312484,-46.9303395120692,296.306502178541,-212.132034355964,212.132034355964,-46.9303395120692,296.306502178541,
87,87,88,LLP,1,6,2,,,,-188.79611731495098,233.143788437091,-267.30195725651004,136.197149921864,-285.316954888546,92.7050983124843,-267.30195725651004,136.197149921864,
88,88,89,LLP,2,0,2,,,,-163.391710504508,251.60117038362702,-212.132034355964,212.132034355964,-212.132034355964,212.132034355964,-212.132034355964,212.132034355964,
89,89,90,OLP,1,5,2,,,,-200.739181907657,222.943447643218,-46.9303395120692,296.306502178541,15.700786872883198,299.588860426372,-46.9303395120692,296.306502178541,
90,90,91,OLP,1,8,2,,,,-212.132034355964,212.132034355964,-296.306502178541,46.9303395120693,-259.807621135332,150.0,-296.306502178541,46.9303395120693,
91,91,92,ERP,2,0,2,,,,-150.0,259.807621135332,-46.9303395120692,296.306502178541,-107.51038486359,280.074127949161,-46.9303395120692,296.306502178541,
92,92,93,OLP,2,0,2,,,,-176.335575687742,242.705098312484,-46.9303395120692,296.306502178541,-212.132034355964,212.132034355964,-46.9303395120692,296.306502178541,
93,93,94,ERP,1,8,2,,,,-222.943447643218,200.739181907658,-285.316954888546,92.7050983124843,-163.391710504508,251.60117038362702,-285.316954888546,92.7050983124843,
94,94,95,LLP,2,0,2,,,,-188.79611731495098,233.143788437091,-267.30195725651004,136.197149921864,-285.316954888546,92.7050983124843,-267.30195725651004,136.197149921864,
95,95,96,OLP,2,0,2,,,,-200.739181907657,222.943447643218,-46.9303395120692,296.306502178541,15.700786872883198,299.588860426372,-46.9303395120692,296.306502178541,
96,96,97,ERP,1,4,2,,,,-233.143788437091,188.79611731495098,-298.356568610482,-31.358538980295897,-289.77774788672,77.6457135307563,-298.356568610482,-31.358538980295897,
97,97,98,ERP,1,2,2,,,,-242.705098312484,176.335575687742,-163.391710504508,251.60117038362702,-289.77774788672,77.6457135307563,-163.391710504508,251.60117038362702,
98,98,99,ERP,1,4,2,,,,-251.60117038362702,163.391710504508,-293.444280220142,62.3735072453279,-289.77774788672,77.6457135307563,-293.444280220142,62.3735072453279,
99,99,100,OLP,2,0,2,,,,-212.132034355964,212.132034355964,-296.306502178541,46.9303395120693,-259.807621135332,150.0,-296.306502178541,46.9303395120693,
