,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Lure1_Distance,Lure1_Index,Lure2_Distance,Lure2_Index,Foil_Distance,Foil_Index
82,-122.02099292273998,-274.06363729278,-251.60117038362702,-163.391710504508,-251.60117038362702,-163.391710504508,-251.60117038362702,-163.391710504508,-11,71,-8,74,60,22
83,-107.51038486359,-280.07412794916,-15.7007868728833,-299.588860426372,-15.7007868728833,-299.588860426372,-15.7007868728833,-299.588860426372,6,89,13,96,60,23
84,-92.7050983124843,-285.316954888546,77.6457135307561,-289.777747886721,77.6457135307561,-289.777747886721,77.6457135307561,-289.777747886721,11,95,3,87,59,23
85,-77.6457135307565,-289.77774788672,46.9303395120692,-296.306502178541,46.9303395120692,-296.306502178541,46.9303395120692,-296.306502178541,8,93,-8,77,58,23
86,-62.3735072453279,-293.444280220142,136.197149921864,-267.30195725651004,136.197149921864,-267.30195725651004,136.197149921864,-267.30195725651004,13,99,4,90,62,28
87,-46.9303395120693,-296.306502178541,-242.705098312484,-176.335575687742,-242.705098312484,-176.335575687742,-242.705098312484,-176.335575687742,-15,72,3,90,60,27
88,-31.358538980296302,-298.356568610482,77.6457135307561,-289.777747886721,77.6457135307561,-289.777747886721,77.6457135307561,-289.777747886721,7,95,-14,74,59,27
89,-15.7007868728833,-299.588860426372,-122.02099292273998,-274.06363729278,-122.02099292273998,-274.06363729278,-122.02099292273998,-274.06363729278,-7,82,-15,74,59,28
90,-5.510910596163089e-14,-300.0,-77.6457135307565,-289.77774788672,-77.6457135307565,-289.77774788672,-77.6457135307565,-289.77774788672,-5,85,5,95,62,32
91,15.700786872882901,-299.588860426372,200.739181907657,-222.943447643218,200.739181907657,-222.943447643218,200.739181907657,-222.943447643218,13,104,-9,82,59,30
92,31.358538980295897,-298.356568610482,122.02099292273998,-274.06363729278,122.02099292273998,-274.06363729278,122.02099292273998,-274.06363729278,6,98,-10,82,58,30
93,46.9303395120692,-296.306502178541,-150.0,-259.807621135332,-150.0,-259.807621135332,-150.0,-259.807621135332,-13,80,-15,78,62,35
94,62.37350724532761,-293.444280220142,233.143788437091,-188.79611731495098,233.143788437091,-188.79611731495098,233.143788437091,-188.79611731495098,13,107,6,100,59,33
95,77.6457135307561,-289.777747886721,212.132034355964,-212.132034355964,212.132034355964,-212.132034355964,212.132034355964,-212.132034355964,10,105,14,109,61,36
96,92.70509831248421,-285.316954888546,188.79611731495098,-233.143788437091,188.79611731495098,-233.143788437091,188.79611731495098,-233.143788437091,7,103,-4,92,62,38
97,107.51038486359,-280.074127949161,-46.9303395120693,-296.306502178541,-46.9303395120693,-296.306502178541,-46.9303395120693,-296.306502178541,-10,87,-12,85,61,38
98,122.02099292273998,-274.06363729278,-15.7007868728833,-299.588860426372,-15.7007868728833,-299.588860426372,-15.7007868728833,-299.588860426372,-9,89,-8,90,59,37
