TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Fill
168,BL,0,0,2,,,,259.8076211,150,,,,,,,0
169,OLP,1,2,3,,,,-150,-259.8076211,-15.70078687,-299.5888604,31.35853898,-298.3565686,136.1971499,267.3019573,0
170,ERP,1,5,3,,,,-136.1971499,-267.3019573,-280.0741279,-107.5103849,-15.70078687,-299.5888604,107.5103849,280.0741279,0
171,OLP,1,2,3,,,,-122.0209929,-274.0636373,-267.3019573,-136.1971499,-267.3019573,-136.1971499,92.70509831,285.3169549,0
172,OLP,2,0,3,,,,-150,-259.8076211,-15.70078687,-299.5888604,31.35853898,-298.3565686,136.1971499,267.3019573,0
173,OLP,1,6,3,,,,-107.5103849,-280.0741279,77.64571353,-289.7777479,46.93033951,-296.3065022,107.5103849,280.0741279,0
174,OLP,2,0,3,,,,-122.0209929,-274.0636373,-267.3019573,-136.1971499,-267.3019573,-136.1971499,92.70509831,285.3169549,0
175,LLP,1,8,3,,,,-92.70509831,-285.3169549,-176.3355757,-242.7050983,15.70078687,-299.5888604,77.64571353,289.7777479,0
176,ERP,2,0,3,,,,-136.1971499,-267.3019573,-280.0741279,-107.5103849,-15.70078687,-299.5888604,107.5103849,280.0741279,0
177,ERP,1,8,3,,,,-77.64571353,-289.7777479,-176.3355757,-242.7050983,-5.51E-14,-300,77.64571353,289.7777479,0
178,LLP,1,4,3,,,,-62.37350725,-293.4442802,62.37350725,-293.4442802,136.1971499,-267.3019573,92.70509831,285.3169549,0
179,ERP,1,5,3,,,,-46.93033951,-296.3065022,46.93033951,-296.3065022,92.70509831,-285.3169549,46.93033951,296.3065022,0
180,OLP,2,0,3,,,,-107.5103849,-280.0741279,77.64571353,-289.7777479,46.93033951,-296.3065022,107.5103849,280.0741279,0
181,ERP,1,6,3,,,,-31.35853898,-298.3565686,-107.5103849,-280.0741279,-176.3355757,-242.7050983,1.84E-14,300,0
182,ERP,1,4,3,,,,-15.70078687,-299.5888604,176.3355757,-242.7050983,-122.0209929,-274.0636373,31.35853898,298.3565686,0
183,LLP,2,0,3,,,,-62.37350725,-293.4442802,62.37350725,-293.4442802,136.1971499,-267.3019573,92.70509831,285.3169549,0
184,LLP,2,0,3,,,,-92.70509831,-285.3169549,-176.3355757,-242.7050983,15.70078687,-299.5888604,77.64571353,289.7777479,0
185,ERP,2,0,3,,,,-46.93033951,-296.3065022,46.93033951,-296.3065022,92.70509831,-285.3169549,46.93033951,296.3065022,0
186,ERP,2,0,3,,,,-77.64571353,-289.7777479,-176.3355757,-242.7050983,-5.51E-14,-300,77.64571353,289.7777479,0
187,ERP,2,0,3,,,,-15.70078687,-299.5888604,176.3355757,-242.7050983,-122.0209929,-274.0636373,31.35853898,298.3565686,0
188,ERP,2,0,3,,,,-31.35853898,-298.3565686,-107.5103849,-280.0741279,-176.3355757,-242.7050983,1.84E-14,300,0
189,BL,0,0,3,,,,259.8076211,150,,,,,,,0
190,ERP,1,6,3,,,,-5.51E-14,-300,-107.5103849,-280.0741279,163.3917105,-251.6011704,31.35853898,298.3565686,0
191,ERP,1,8,3,,,,15.70078687,-299.5888604,-163.3917105,-251.6011704,62.37350725,-293.4442802,-15.70078687,299.5888604,0
192,LLP,1,2,3,,,,31.35853898,-298.3565686,222.9434476,-200.7391819,-15.70078687,-299.5888604,1.84E-14,300,0
193,ERP,1,5,3,,,,46.93033951,-296.3065022,-136.1971499,-267.3019573,222.9434476,-200.7391819,-31.35853898,298.3565686,0
194,ERP,1,6,3,,,,62.37350725,-293.4442802,222.9434476,-200.7391819,150,-259.8076211,-92.70509831,285.3169549,0
195,LLP,2,0,3,,,,31.35853898,-298.3565686,222.9434476,-200.7391819,-15.70078687,-299.5888604,1.84E-14,300,0
196,LLP,1,8,3,,,,77.64571353,-289.7777479,31.35853898,-298.3565686,188.7961173,-233.1437884,-107.5103849,280.0741279,0
197,ERP,2,0,3,,,,-5.51E-14,-300,-107.5103849,-280.0741279,163.3917105,-251.6011704,31.35853898,298.3565686,0
198,OLP,1,5,3,,,,92.70509831,-285.3169549,200.7391819,-222.9434476,-122.0209929,-274.0636373,-122.0209929,274.0636373,0
199,ERP,2,0,3,,,,46.93033951,-296.3065022,-136.1971499,-267.3019573,222.9434476,-200.7391819,-31.35853898,298.3565686,0
200,ERP,2,0,3,,,,15.70078687,-299.5888604,-163.3917105,-251.6011704,62.37350725,-293.4442802,-15.70078687,299.5888604,0
201,ERP,2,0,3,,,,62.37350725,-293.4442802,222.9434476,-200.7391819,150,-259.8076211,-92.70509831,285.3169549,0
